"","baseMean","log2FoldChange","lfcSE","pvalue","padj","abslog2FoldChange"
"LOC100037419",1.24400749924693,0.0283526733225259,0.349931297320503,0.888356046326575,0.92511070079244,0.0283526733225259
"LOC100049551",80.1011030313446,-0.100721199943208,0.0840065821816066,0.217078703140245,0.323943534559917,0.100721199943208
"LOC100049563",1.7715867960106,-1.66801770202398,0.698977872253565,0.00076051599509895,0.00260952190168224,1.66801770202398
"LOC100049571",34157.1379772923,0.0877283497885767,0.126653750165676,0.449319880134115,0.567357846271408,0.0877283497885767
"LOC100049572",2.49953701258712,-0.0898230022846002,0.287457790147555,0.67622687464338,0.763502605803559,0.0898230022846002
"LOC100126690",37.8312528525389,0.382708457022183,0.197054479595279,0.0277978041281224,0.0592099061651674,0.382708457022183
"LOC100174948",1016.71641232703,0.209482392848603,0.0477531012030355,9.40496287955117e-06,4.97404814922128e-05,0.209482392848603
"LOC100187599",8.61983783284502,0.406664175465692,0.207509734489249,0.0267903005317272,0.0574800508567067,0.406664175465692
"LOC100187709",672.869668090207,-0.141814958740058,0.0782389708454514,0.0653342086824426,0.121030639192673,0.141814958740058
"LOC100188904",0.685791085538119,0.185494669606228,0.449385542654263,0.30710540737117,0.425066424772017,0.185494669606228
"LOC100188940",1455.8978167439,0.0842390149468392,0.0763995772933605,0.26275794652967,0.376369967713041,0.0842390149468392
"LOC100188973",771.813181519554,0.289157249682756,0.045136028693577,4.75466188139868e-11,6.86172165966586e-10,0.289157249682756
"LOC100191002",22560.1549033814,0.135763895390976,0.080198680732371,0.089506703884302,0.156985230582908,0.135763895390976
"LOC100192200",28214.9667953583,-9.02344294703535,0.741718380246021,6.71094080480041e-39,1.40258662820329e-36,9.02344294703535
"LOC100192201",34107.1621300829,-12.2416773963161,0.837111911218606,5.21344182843693e-57,3.81363269750161e-54,12.2416773963161
"LOC100192202",26151.0615272884,-10.1776431391231,0.791555552076752,4.59715158663435e-44,1.4945850602769e-41,10.1776431391231
"LOC100216325",3988.42049669974,-0.858184320788946,0.167616052328118,3.62161649968211e-08,3.18702251972026e-07,0.858184320788946
"LOC100216489",79.8045860289253,0.406900255513565,0.152622809888945,0.00405110131741872,0.0112649298691064,0.406900255513565
"LOC100217360",6.34526076490157,-2.03053580515926,0.485807141260034,1.8468347660195e-06,1.14065193147716e-05,2.03053580515926
"LOC100302106",3076.48062011296,-0.0483372965990214,0.0789209078624756,0.559879281825612,0.666750825649874,0.0483372965990214
"LOC100302584",358.245675178285,0.189129443916847,0.0973964138785455,0.0447055112475749,0.0881012466141802,0.189129443916847
"LOC100315656",0.698345333660789,-0.0111341111697398,0.401610506980274,0.992032243957892,0.995434274972837,0.0111341111697398
"LOC100315657",0.547753265344851,0.0615895401177635,0.396463707247843,0.823994270577593,0.877927077181625,0.0615895401177635
"LOC100315658",3.77065907128217,-0.540018774647684,0.291559233283077,0.0216660771282445,0.048190757641386,0.540018774647684
"LOC100315661",2.34232424220447,-0.0288345106040847,0.314494576272828,0.892475907581635,0.927914899381314,0.0288345106040847
"LOC100315664",0.465471494128819,0.223976087955463,0.495131092626902,0.123733153246813,0.204082979932454,0.223976087955463
"LOC100315665",1.56795505331184,0.341708692510268,0.423534132444044,0.162289775267986,0.25493699386293,0.341708692510268
"LOC100315666",0.866424564068001,0.970904253321846,1.0305151480251,0.0170853900672448,0.0391325646471689,0.970904253321846
"LOC100315667",1.73067212787582,0.089601396839654,0.322389903350759,0.678217850978924,0.764823624834989,0.089601396839654
"LOC100315668",3.1633011164112,0.208671803882634,0.32276407219763,0.344974416222912,0.465534482586529,0.208671803882634
"LOC100315671",6.0904955583809,-1.20022536722261,0.260437115073002,4.71763863358601e-07,3.2925010475546e-06,1.20022536722261
"LOC100315673",0.60586552654184,-0.44022856622008,0.56440990010361,0.119529399244794,0.198745857190093,0.44022856622008
"LOC100315674",0.257402511084249,-0.230095504274177,0.513498586630473,0.336997922283176,0.457566342735996,0.230095504274177
"LOC100315677",2.72993124050412,1.1400791953803,0.538112919179034,0.00294319671720096,0.00849917946659758,1.1400791953803
"LOC100315678",0.405015133884034,-0.0575066833850986,0.40515670076909,0.715023411922735,0.794364880222467,0.0575066833850986
"LOC100315680",0.408267230515714,0.245765852171861,0.489147996461003,0.179747028912191,0.27710211095736,0.245765852171861
"LOC100315682",0.947491202103135,0.239315929906263,0.420423722076306,0.271390310827813,0.3860887562816,0.239315929906263
"LOC100315688",0.881588609698363,-1.23298226709971,0.7335619311993,0.00676104924195472,0.0175925567647484,1.23298226709971
"LOC100328599",167.098222956343,0.392842313732954,0.0881792076294097,4.66187203161442e-06,2.64738235118948e-05,0.392842313732954
"LOC100359409",3124.78609102683,-0.052658380190249,0.0663023130931263,0.41993142910088,0.537875027515521,0.052658380190249
"LOC100359410",4360.9669508924,-0.219198612227362,0.0609523447987557,0.000266151796588255,0.00103078776547615,0.219198612227362
"LOC100379261",303.994575309699,0.405476322724737,0.101855390737005,4.00047081834524e-05,0.000185431724585793,0.405476322724737
"LOC100576080",48.7194184592432,-0.0599403873017183,0.202179985732517,0.735939891110458,0.810829378288318,0.0599403873017183
"LOC100576082",156.406956131728,-0.0537567403222228,0.163613486140736,0.722721575817187,0.800058782438481,0.0537567403222228
"LOC100576085",2420.17307968047,-0.138931238209825,0.0534843821571496,0.00897160528457582,0.0225088249197589,0.138931238209825
"LOC100576088",888.286693838346,0.00202914122950408,0.08374328360483,0.955392401085305,0.971378216509649,0.00202914122950408
"LOC100576090",20.3417578197181,-0.15121982777477,0.348639986623469,0.437997360106189,0.555939822436051,0.15121982777477
"LOC100576093",0.670519657828673,0.0670668100122009,0.391602590761712,0.687609962636595,0.772340403330011,0.0670668100122009
"LOC100576096",97.124957093101,-0.401132417433744,0.212717279230235,0.0306098063925002,0.0641578033699538,0.401132417433744
"LOC100576097",5.65923999950206,0.437072140613107,0.369446223758685,0.0813729772562993,0.14502654572982,0.437072140613107
"LOC100576098",192.672082149106,0.0218615133228062,0.0828954697217386,0.788876655357328,0.851361214781204,0.0218615133228062
"LOC100576099",24.1063587255238,0.353967805148306,0.221684897357608,0.0650835424379487,0.120604461794451,0.353967805148306
"LOC100576100",3.64677715232895,-0.0479529189108269,0.263333867470982,0.817116990174059,0.872665138516031,0.0479529189108269
"LOC100576101",406.589494028803,0.0108913737659506,0.0730730217094472,0.889908320422905,0.926150362993925,0.0108913737659506
