"PEAKID","peakbias","phenotype"
"broadPeak_228","mat","WL"
"broadPeak_1389","mat","WL"
"broadPeak_1751","mat","WL"
"broadPeak_2774","mat","WL"
"broadPeak_3007","mat","WL"
"broadPeak_3008","mat","WL"
"broadPeak_3012","mat","WL"
"broadPeak_3013","mat","WL"
"broadPeak_5373","mat","WL"
"broadPeak_5375","mat","WL"
"broadPeak_6361","mat","WL"
"broadPeak_6765","mat","WL"
"broadPeak_7562","mat","WL"
"broadPeak_7564","mat","WL"
"broadPeak_7571","mat","WL"
"broadPeak_7743","mat","WL"
"broadPeak_8613","mat","WL"
"broadPeak_10727","mat","WL"
"broadPeak_10733","mat","WL"
"broadPeak_11783","mat","WL"
"broadPeak_15229","mat","WL"
"broadPeak_15255","mat","WL"
"broadPeak_15370","mat","WL"
"broadPeak_15376","mat","WL"
"broadPeak_15383","mat","WL"
"broadPeak_15574","mat","WL"
"broadPeak_15575","mat","WL"
"broadPeak_15601","mat","WL"
"broadPeak_15984","mat","WL"
"broadPeak_15985","mat","WL"
"broadPeak_15996","mat","WL"
"broadPeak_16005","mat","WL"
"broadPeak_16007","mat","WL"
"broadPeak_16008","mat","WL"
"broadPeak_16030","mat","WL"
"broadPeak_16093","mat","WL"
"broadPeak_16118","mat","WL"
"broadPeak_16130","mat","WL"
"broadPeak_17014","mat","WL"
"broadPeak_17195","mat","WL"
"broadPeak_17352","mat","WL"
"broadPeak_20138","mat","WL"
"broadPeak_20171","mat","WL"
"broadPeak_20174","mat","WL"
"broadPeak_20247","mat","WL"
"broadPeak_22384","mat","WL"
"broadPeak_22456","mat","WL"
"broadPeak_22462","mat","WL"
"broadPeak_22750","mat","WL"
"broadPeak_23645","mat","WL"
"broadPeak_23732","mat","WL"
"broadPeak_23737","mat","WL"
"broadPeak_23762","mat","WL"
"broadPeak_23763","mat","WL"
"broadPeak_23764","mat","WL"
"broadPeak_23777","mat","WL"
"broadPeak_23780","mat","WL"
"broadPeak_23786","mat","WL"
"broadPeak_23820","mat","WL"
"broadPeak_23829","mat","WL"
"broadPeak_24601","mat","WL"
"broadPeak_24644","mat","WL"
"broadPeak_25126","mat","WL"
"broadPeak_25532","mat","WL"
"broadPeak_26146","mat","WL"
"broadPeak_26431","mat","WL"
"broadPeak_30013","mat","WL"
"broadPeak_30026","mat","WL"
"broadPeak_30140","mat","WL"
"broadPeak_30957","mat","WL"
"broadPeak_31158","mat","WL"
"broadPeak_31181","mat","WL"
"broadPeak_31295","mat","WL"
"broadPeak_31507","mat","WL"
"broadPeak_34527","mat","WL"
"broadPeak_34571","mat","WL"
"broadPeak_35420","mat","WL"
"broadPeak_35474","mat","WL"
"broadPeak_36406","mat","WL"
"broadPeak_37882","mat","WL"
"broadPeak_38702","mat","WL"
"broadPeak_38870","mat","WL"
"broadPeak_463","mat","QL"
"broadPeak_490","mat","QL"
"broadPeak_517","mat","QL"
"broadPeak_1256","mat","QL"
"broadPeak_1361","mat","QL"
"broadPeak_1366","mat","QL"
"broadPeak_1499","mat","QL"
"broadPeak_1585","mat","QL"
"broadPeak_1933","mat","QL"
"broadPeak_1939","mat","QL"
"broadPeak_1956","mat","QL"
"broadPeak_1966","mat","QL"
"broadPeak_1969","mat","QL"
"broadPeak_2013","mat","QL"
"broadPeak_2016","mat","QL"
"broadPeak_2180","mat","QL"
"broadPeak_2519","mat","QL"
"broadPeak_2559","mat","QL"
"broadPeak_2630","mat","QL"
"broadPeak_2647","mat","QL"
"broadPeak_2669","mat","QL"
"broadPeak_2672","mat","QL"
"broadPeak_2675","mat","QL"
"broadPeak_2717","mat","QL"
"broadPeak_2718","mat","QL"
"broadPeak_2829","mat","QL"
"broadPeak_2836","mat","QL"
"broadPeak_2885","mat","QL"
"broadPeak_3143","mat","QL"
"broadPeak_3150","mat","QL"
"broadPeak_3323","mat","QL"
"broadPeak_3328","mat","QL"
"broadPeak_3746","mat","QL"
"broadPeak_4200","mat","QL"
"broadPeak_4212","mat","QL"
"broadPeak_4229","mat","QL"
"broadPeak_4262","mat","QL"
"broadPeak_6515","mat","QL"
"broadPeak_6662","mat","QL"
"broadPeak_6890","mat","QL"
"broadPeak_6917","mat","QL"
"broadPeak_7075","mat","QL"
"broadPeak_7372","mat","QL"
"broadPeak_7403","mat","QL"
"broadPeak_7493","mat","QL"
"broadPeak_7554","mat","QL"
"broadPeak_7564","mat","QL"
"broadPeak_7953","mat","QL"
"broadPeak_7995","mat","QL"
"broadPeak_7999","mat","QL"
"broadPeak_8000","mat","QL"
"broadPeak_8002","mat","QL"
"broadPeak_8494","mat","QL"
"broadPeak_8593","mat","QL"
"broadPeak_8669","mat","QL"
"broadPeak_9034","mat","QL"
"broadPeak_9063","mat","QL"
"broadPeak_9072","mat","QL"
"broadPeak_9370","mat","QL"
"broadPeak_9619","mat","QL"
"broadPeak_9645","mat","QL"
"broadPeak_9709","mat","QL"
"broadPeak_9710","mat","QL"
"broadPeak_10180","mat","QL"
"broadPeak_10309","mat","QL"
"broadPeak_10352","mat","QL"
"broadPeak_10370","mat","QL"
"broadPeak_10559","mat","QL"
"broadPeak_10562","mat","QL"
"broadPeak_10645","mat","QL"
"broadPeak_10660","mat","QL"
"broadPeak_10954","mat","QL"
"broadPeak_10968","mat","QL"
"broadPeak_10973","mat","QL"
"broadPeak_10975","mat","QL"
"broadPeak_10976","mat","QL"
"broadPeak_11018","mat","QL"
"broadPeak_11823","mat","QL"
"broadPeak_11862","mat","QL"
"broadPeak_11872","mat","QL"
"broadPeak_12383","mat","QL"
"broadPeak_12961","mat","QL"
"broadPeak_13003","mat","QL"
"broadPeak_13046","mat","QL"
"broadPeak_13099","mat","QL"
"broadPeak_13145","mat","QL"
"broadPeak_13157","mat","QL"
"broadPeak_13294","mat","QL"
"broadPeak_13295","mat","QL"
"broadPeak_13298","mat","QL"
"broadPeak_13301","mat","QL"
"broadPeak_13303","mat","QL"
"broadPeak_13308","mat","QL"
"broadPeak_13310","mat","QL"
"broadPeak_13312","mat","QL"
"broadPeak_13314","mat","QL"
"broadPeak_13316","mat","QL"
"broadPeak_13321","mat","QL"
"broadPeak_13325","mat","QL"
"broadPeak_13330","mat","QL"
"broadPeak_13385","mat","QL"
"broadPeak_13386","mat","QL"
"broadPeak_13430","mat","QL"
"broadPeak_13507","mat","QL"
"broadPeak_13678","mat","QL"
"broadPeak_13694","mat","QL"
"broadPeak_13707","mat","QL"
"broadPeak_13708","mat","QL"
"broadPeak_13713","mat","QL"
"broadPeak_13714","mat","QL"
"broadPeak_13720","mat","QL"
"broadPeak_13739","mat","QL"
"broadPeak_13745","mat","QL"
"broadPeak_13753","mat","QL"
"broadPeak_13761","mat","QL"
"broadPeak_13778","mat","QL"
"broadPeak_13787","mat","QL"
"broadPeak_17076","mat","QL"
"broadPeak_17450","mat","QL"
"broadPeak_17482","mat","QL"
"broadPeak_17821","mat","QL"
"broadPeak_18052","mat","QL"
"broadPeak_18056","mat","QL"
"broadPeak_18195","mat","QL"
"broadPeak_18200","mat","QL"
"broadPeak_18372","mat","QL"
"broadPeak_18459","mat","QL"
"broadPeak_18540","mat","QL"
"broadPeak_18594","mat","QL"
"broadPeak_18774","mat","QL"
"broadPeak_18778","mat","QL"
"broadPeak_18823","mat","QL"
"broadPeak_19842","mat","QL"
"broadPeak_19846","mat","QL"
"broadPeak_19920","mat","QL"
"broadPeak_19949","mat","QL"
"broadPeak_20667","mat","QL"
"broadPeak_20729","mat","QL"
"broadPeak_20762","mat","QL"
"broadPeak_20798","mat","QL"
"broadPeak_21136","mat","QL"
"broadPeak_21252","mat","QL"
"broadPeak_21471","mat","QL"
"broadPeak_21949","mat","QL"
"broadPeak_21953","mat","QL"
"broadPeak_21963","mat","QL"
"broadPeak_22063","mat","QL"
"broadPeak_22158","mat","QL"
"broadPeak_22308","mat","QL"
"broadPeak_22410","mat","QL"
"broadPeak_22938","mat","QL"
"broadPeak_22962","mat","QL"
"broadPeak_23079","mat","QL"
"broadPeak_23546","mat","QL"
"broadPeak_23784","mat","QL"
"broadPeak_24092","mat","QL"
"broadPeak_24996","mat","QL"
"broadPeak_25015","mat","QL"
"broadPeak_25254","mat","QL"
"broadPeak_25344","mat","QL"
"broadPeak_25546","mat","QL"
"broadPeak_25666","mat","QL"
"broadPeak_25734","mat","QL"
"broadPeak_25876","mat","QL"
"broadPeak_25910","mat","QL"
"broadPeak_26457","mat","QL"
"broadPeak_26843","mat","QL"
"broadPeak_27235","mat","QL"
"broadPeak_27236","mat","QL"
"broadPeak_27267","mat","QL"
"broadPeak_27290","mat","QL"
"broadPeak_27342","mat","QL"
"broadPeak_27374","mat","QL"
"broadPeak_27505","mat","QL"
"broadPeak_27510","mat","QL"
"broadPeak_27519","mat","QL"
"broadPeak_27920","mat","QL"
"broadPeak_28015","mat","QL"
"broadPeak_28109","mat","QL"
"broadPeak_28221","mat","QL"
"broadPeak_28268","mat","QL"
"broadPeak_28800","mat","QL"
"broadPeak_28831","mat","QL"
"broadPeak_29150","mat","QL"
"broadPeak_29151","mat","QL"
"broadPeak_29163","mat","QL"
"broadPeak_29200","mat","QL"
"broadPeak_29403","mat","QL"
"broadPeak_29522","mat","QL"
"broadPeak_29543","mat","QL"
"broadPeak_30246","mat","QL"
"broadPeak_30344","mat","QL"
"broadPeak_30441","mat","QL"
"broadPeak_30451","mat","QL"
"broadPeak_30515","mat","QL"
"broadPeak_30517","mat","QL"
"broadPeak_30520","mat","QL"
"broadPeak_30521","mat","QL"
"broadPeak_30547","mat","QL"
"broadPeak_30550","mat","QL"
