"PEAKID","peakbias","phenotype"
"broadPeak_274","mat","WL"
"broadPeak_963","mat","WL"
"broadPeak_1855","mat","WL"
"broadPeak_1885","mat","WL"
"broadPeak_1948","mat","WL"
"broadPeak_1975","mat","WL"
"broadPeak_2070","mat","WL"
"broadPeak_2094","mat","WL"
"broadPeak_3008","mat","WL"
"broadPeak_3889","mat","WL"
"broadPeak_3934","mat","WL"
"broadPeak_3937","mat","WL"
"broadPeak_4022","mat","WL"
"broadPeak_4216","mat","WL"
"broadPeak_5128","mat","WL"
"broadPeak_5162","mat","WL"
"broadPeak_5670","mat","WL"
"broadPeak_5721","mat","WL"
"broadPeak_5760","mat","WL"
"broadPeak_6213","mat","WL"
"broadPeak_6751","mat","WL"
"broadPeak_6752","mat","WL"
"broadPeak_6940","mat","WL"
"broadPeak_6942","mat","WL"
"broadPeak_7400","mat","WL"
"broadPeak_7442","mat","WL"
"broadPeak_8154","mat","WL"
"broadPeak_8497","mat","WL"
"broadPeak_8639","mat","WL"
"broadPeak_8690","mat","WL"
"broadPeak_9166","mat","WL"
"broadPeak_9285","mat","WL"
"broadPeak_9560","mat","WL"
"broadPeak_9669","mat","WL"
"broadPeak_9672","mat","WL"
"broadPeak_9887","mat","WL"
"broadPeak_10306","mat","WL"
"broadPeak_10364","mat","WL"
"broadPeak_10371","mat","WL"
"broadPeak_10584","mat","WL"
"broadPeak_10773","mat","WL"
"broadPeak_10879","mat","WL"
"broadPeak_11048","mat","WL"
"broadPeak_11247","mat","WL"
"broadPeak_11373","mat","WL"
"broadPeak_11456","mat","WL"
"broadPeak_11704","mat","WL"
"broadPeak_11755","mat","WL"
"broadPeak_11839","mat","WL"
"broadPeak_12071","mat","WL"
"broadPeak_12114","mat","WL"
"broadPeak_12268","mat","WL"
"broadPeak_12773","mat","WL"
"broadPeak_12791","mat","WL"
"broadPeak_12865","mat","WL"
"broadPeak_13235","mat","WL"
"broadPeak_13253","mat","WL"
"broadPeak_13259","mat","WL"
"broadPeak_13501","mat","WL"
"broadPeak_13975","mat","WL"
"broadPeak_14353","mat","WL"
"broadPeak_14398","mat","WL"
"broadPeak_14412","mat","WL"
"broadPeak_14414","mat","WL"
"broadPeak_14544","mat","WL"
"broadPeak_14626","mat","WL"
"broadPeak_14628","mat","WL"
"broadPeak_14629","mat","WL"
"broadPeak_14633","mat","WL"
"broadPeak_14635","mat","WL"
"broadPeak_15405","mat","WL"
"broadPeak_15424","mat","WL"
"broadPeak_15432","mat","WL"
