"PEAKID","peakbias","phenotype"
"broadPeak_82","mat","WL"
"broadPeak_538","mat","WL"
"broadPeak_595","mat","WL"
"broadPeak_677","mat","WL"
"broadPeak_740","mat","WL"
"broadPeak_755","mat","WL"
"broadPeak_817","mat","WL"
"broadPeak_847","mat","WL"
"broadPeak_946","mat","WL"
"broadPeak_1118","mat","WL"
"broadPeak_1346","mat","WL"
"broadPeak_1385","mat","WL"
"broadPeak_1607","mat","WL"
"broadPeak_1611","mat","WL"
"broadPeak_1618","mat","WL"
"broadPeak_1621","mat","WL"
"broadPeak_1629","mat","WL"
"broadPeak_1910","mat","WL"
"broadPeak_2246","mat","WL"
"broadPeak_2258","mat","WL"
"broadPeak_2264","mat","WL"
"broadPeak_2642","mat","WL"
"broadPeak_2726","mat","WL"
"broadPeak_2792","mat","WL"
"broadPeak_2795","mat","WL"
"broadPeak_2836","mat","WL"
"broadPeak_2849","mat","WL"
"broadPeak_2937","mat","WL"
"broadPeak_2964","mat","WL"
"broadPeak_2965","mat","WL"
"broadPeak_2980","mat","WL"
"broadPeak_3021","mat","WL"
"broadPeak_3240","mat","WL"
"broadPeak_3255","mat","WL"
"broadPeak_3327","mat","WL"
"broadPeak_3446","mat","WL"
"broadPeak_3581","mat","WL"
"broadPeak_3717","mat","WL"
"broadPeak_3718","mat","WL"
"broadPeak_3752","mat","WL"
"broadPeak_3761","mat","WL"
"broadPeak_3770","mat","WL"
"broadPeak_3844","mat","WL"
"broadPeak_4000","mat","WL"
"broadPeak_4247","mat","WL"
"broadPeak_4303","mat","WL"
"broadPeak_4417","mat","WL"
"broadPeak_4425","mat","WL"
"broadPeak_4533","mat","WL"
"broadPeak_4618","mat","WL"
"broadPeak_4835","mat","WL"
"broadPeak_5000","mat","WL"
"broadPeak_5004","mat","WL"
"broadPeak_5020","mat","WL"
"broadPeak_5024","mat","WL"
"broadPeak_5046","mat","WL"
"broadPeak_6213","mat","WL"
"broadPeak_6221","mat","WL"
"broadPeak_6225","mat","WL"
"broadPeak_6229","mat","WL"
"broadPeak_6232","mat","WL"
"broadPeak_7119","mat","WL"
"broadPeak_7126","mat","WL"
"broadPeak_7156","mat","WL"
"broadPeak_7297","mat","WL"
"broadPeak_7298","mat","WL"
"broadPeak_7306","mat","WL"
"broadPeak_7333","mat","WL"
"broadPeak_7838","mat","WL"
"broadPeak_7904","mat","WL"
"broadPeak_7905","mat","WL"
"broadPeak_8052","mat","WL"
"broadPeak_8196","mat","WL"
"broadPeak_8223","mat","WL"
"broadPeak_8224","mat","WL"
"broadPeak_8243","mat","WL"
"broadPeak_8262","mat","WL"
"broadPeak_8348","mat","WL"
"broadPeak_8562","mat","WL"
"broadPeak_8815","mat","WL"
"broadPeak_8948","mat","WL"
"broadPeak_8976","mat","WL"
"broadPeak_9024","mat","WL"
"broadPeak_9411","mat","WL"
"broadPeak_9446","mat","WL"
"broadPeak_9550","mat","WL"
"broadPeak_9565","mat","WL"
"broadPeak_9595","mat","WL"
"broadPeak_9601","mat","WL"
"broadPeak_9616","mat","WL"
"broadPeak_9692","mat","WL"
"broadPeak_9940","mat","WL"
"broadPeak_9951","mat","WL"
"broadPeak_10075","mat","WL"
"broadPeak_10093","mat","WL"
"broadPeak_10096","mat","WL"
"broadPeak_10124","mat","WL"
"broadPeak_10275","mat","WL"
"broadPeak_10556","mat","WL"
"broadPeak_10558","mat","WL"
"broadPeak_10583","mat","WL"
"broadPeak_10898","mat","WL"
"broadPeak_11232","mat","WL"
"broadPeak_11298","mat","WL"
"broadPeak_11324","mat","WL"
"broadPeak_11336","mat","WL"
"broadPeak_11511","mat","WL"
"broadPeak_11513","mat","WL"
"broadPeak_11547","mat","WL"
"broadPeak_11594","mat","WL"
"broadPeak_11746","mat","WL"
"broadPeak_11904","mat","WL"
"broadPeak_12541","mat","WL"
"broadPeak_12547","mat","WL"
"broadPeak_12706","mat","WL"
"broadPeak_13019","mat","WL"
"broadPeak_13813","mat","WL"
"broadPeak_13948","mat","WL"
"broadPeak_14066","mat","WL"
"broadPeak_14084","mat","WL"
"broadPeak_14152","mat","WL"
"broadPeak_14165","mat","WL"
"broadPeak_14209","mat","WL"
"broadPeak_14211","mat","WL"
"broadPeak_14213","mat","WL"
"broadPeak_14224","mat","WL"
"broadPeak_14228","mat","WL"
"broadPeak_14229","mat","WL"
"broadPeak_14230","mat","WL"
"broadPeak_14340","mat","WL"
"broadPeak_14356","mat","WL"
"broadPeak_14357","mat","WL"
"broadPeak_14578","mat","WL"
"broadPeak_14581","mat","WL"
"broadPeak_14587","mat","WL"
"broadPeak_14588","mat","WL"
"broadPeak_14591","mat","WL"
"broadPeak_14594","mat","WL"
