"gene","bias","phenotype"
"LOC409905","pat","WL"
"LOC725793","pat","WL"
"LOC413638","pat","WL"
"LOC724971","pat","WL"
"LOC725993","pat","WL"
"LOC413141","pat","WL"
"LOC410997","pat","WL"
"LOC408782","pat","WL"
"LOC552621","pat","WL"
"LOC724973","pat","WL"
"LOC408774","pat","WL"
"LOC725548","pat","WL"
"LOC408770","pat","WL"
"LOC725210","pat","WL"
"LOC412858","pat","WL"
"LOC551174","pat","WL"
"LOC409206","pat","WL"
"LOC408827","pat","WL"
"LOC726284","pat","WL"
"LOC409818","pat","WL"
"LOC725363","pat","WL"
"LOC411115","pat","WL"
"LOC551919","pat","WL"
"LOC411116","pat","WL"
"LOC409043","pat","WL"
"LOC410096","pat","WL"
"LOC409729","pat","WL"
"LOC413998","pat","WL"
"LOC107964686","pat","WL"
"LOC100577629","pat","WL"
"LOC406131","pat","WL"
"LOC100578311","pat","WL"
"LOC551924","pat","WL"
"LOC409278","pat","WL"
"LOC100577707","pat","WL"
"LOC412274","pat","WL"
"LOC100577781","pat","WL"
"LOC413098","pat","WL"
"LOC727091","pat","WL"
"LOC408914","pat","WL"
"LOC409162","pat","WL"
"LOC100576381","pat","WL"
"LOC100577452","pat","WL"
"LOC409243","pat","WL"
"LOC100577053","pat","WL"
"LOC725332","pat","WL"
"LOC412746","pat","WL"
"LOC725571","pat","WL"
"LOC726000","pat","WL"
"LOC411279","pat","WL"
"LOC413568","pat","WL"
"LOC725263","pat","WL"
"LOC552685","pat","WL"
"LOC551863","pat","WL"
"LOC724787","pat","WL"
"LOC409227","pat","WL"
"LOC409003","pat","WL"
"LOC411320","pat","WL"
"LOC100578664","pat","WL"
"LOC552674","pat","WL"
"LOC726289","pat","WL"
"LOC726361","pat","WL"
"LOC726639","pat","WL"
"LOC552524","pat","WL"
"LOC551093","pat","WL"
"LOC409073","pat","WL"
"LOC409409","pat","WL"
"LOC411744","pat","WL"
"LOC102654795","pat","WL"
"LOC726934","pat","WL"
"LOC102656398","pat","WL"
"LOC100576610","pat","WL"
"LOC102654286","pat","WL"
"LOC725108","pat","WL"
"LOC727023","pat","WL"
"LOC409472","pat","WL"
"LOC725686","pat","WL"
"LOC552722","pat","WL"
"LOC102655479","pat","WL"
"LOC412198","pat","WL"
"LOC725389","pat","WL"
"LOC408276","pat","WL"
"LOC409363","pat","WL"
"LOC726923","pat","WL"
"LOC411889","pat","WL"
"LOC413906","pat","WL"
"LOC412893","pat","WL"
"LOC494508","pat","WL"
"LOC552309","pat","WL"
"LOC410319","pat","WL"
"LOC726913","pat","WL"
"LOC551648","pat","WL"
"LOC725462","pat","WL"
"LOC413944","pat","WL"
"LOC726432","pat","WL"
"LOC409943","pat","WL"
"LOC726757","pat","WL"
"LOC100578388","pat","WL"
"LOC410274","pat","WL"
"LOC410272","pat","WL"
"LOC410286","pat","WL"
"LOC408332","pat","WL"
"LOC100576458","pat","WL"
"LOC411813","pat","WL"
"LOC102655710","pat","WL"
"LOC551033","pat","WL"
"LOC725500","pat","WL"
"LOC725656","pat","WL"
"LOC551284","pat","WL"
"LOC551325","pat","WL"
"LOC552190","pat","WL"
"LOC408395","pat","WL"
"LOC410379","pat","WL"
"LOC408399","pat","WL"
"LOC551533","pat","WL"
"LOC551895","pat","WL"
"LOC100576508","pat","WL"
"LOC100576671","pat","WL"
"LOC100576527","pat","WL"
"LOC409963","pat","WL"
"LOC410447","pat","WL"
"LOC410448","pat","WL"
"LOC726040","pat","WL"
"LOC408433","pat","WL"
"LOC409230","pat","WL"
"LOC725053","pat","WL"
"LOC551582","pat","WL"
"LOC408452","pat","WL"
"LOC410510","pat","WL"
"LOC409862","pat","WL"
"LOC550932","pat","WL"
"LOC100578262","pat","WL"
"LOC552641","pat","WL"
"LOC410627","pat","WL"
"LOC102655798","pat","WL"
"LOC726476","pat","WL"
"LOC726548","pat","WL"
"LOC724467","pat","WL"
"LOC409604","pat","WL"
"LOC102655617","pat","WL"
"LOC725117","pat","WL"
"LOC408552","pat","WL"
"LOC551203","pat","QL"
"LOC113219272","pat","QL"
"LOC410739","pat","QL"
"LOC410734","pat","QL"
"LOC102654510","pat","QL"
"LOC409757","pat","QL"
"LOC552502","pat","QL"
"LOC725150","pat","QL"
"LOC410061","pat","QL"
"LOC408594","pat","QL"
"LOC410725","pat","QL"
"LOC551031","pat","QL"
"LOC724680","pat","QL"
"LOC113218910","pat","QL"
"LOC410710","pat","QL"
"LOC410683","pat","QL"
"LOC100578882","pat","QL"
"LOC551941","pat","QL"
"LOC102655819","pat","QL"
"LOC100577959","pat","QL"
"LOC100577920","pat","QL"
"LOC726812","pat","QL"
"LOC725588","pat","QL"
"LOC725625","pat","QL"
"LOC100578084","pat","QL"
"LOC107966103","pat","QL"
"LOC408694","pat","QL"
"LOC724507","pat","QL"
"LOC552124","pat","QL"
"LOC552277","pat","QL"
"LOC725697","pat","QL"
"LOC725893","pat","QL"
"LOC552747","pat","QL"
"LOC725091","pat","QL"
"LOC413207","pat","QL"
"LOC726478","pat","QL"
"LOC409888","pat","QL"
"LOC552022","pat","QL"
"LOC724920","pat","QL"
"LOC413987","pat","QL"
"LOC100577242","pat","QL"
"LOC551828","pat","QL"
"LOC100577047","pat","QL"
"LOC107964181","pat","QL"
"LOC413829","pat","QL"
"LOC412256","pat","QL"
"LOC551124","pat","QL"
"LOC726305","pat","QL"
"LOC100578955","pat","QL"
"LOC100578919","pat","QL"
"LOC409905","pat","QL"
"LOC413638","pat","QL"
"LOC724971","pat","QL"
"LOC413117","pat","QL"
"LOC409051","pat","QL"
"LOC413591","pat","QL"
"LOC725993","pat","QL"
"LOC100578999","pat","QL"
"LOC410999","pat","QL"
"LOC726681","pat","QL"
"LOC725548","pat","QL"
"LOC726806","pat","QL"
"LOC100188940","pat","QL"
"LOC412968","pat","QL"
"LOC551548","pat","QL"
"LOC411113","pat","QL"
"LOC411115","pat","QL"
"LOC725215","pat","QL"
"LOC409729","pat","QL"
"LOC113218843","pat","QL"
"LOC107964686","pat","QL"
"LOC100577629","pat","QL"
"LOC113218874","pat","QL"
"LOC409787","pat","QL"
"LOC100578421","pat","QL"
"LOC724309","pat","QL"
"LOC408892","pat","QL"
"LOC100578311","pat","QL"
"LOC551760","pat","QL"
"LOC551631","pat","QL"
"LOC102656523","pat","QL"
"LOC411586","pat","QL"
"LOC100577781","pat","QL"
"LOC413065","pat","QL"
"LOC726358","pat","QL"
"LOC409913","pat","QL"
"LOC725131","pat","QL"
"LOC725018","pat","QL"
"LOC724631","pat","QL"
"LOC102654113","pat","QL"
"LOC408906","pat","QL"
"LOC100576381","pat","QL"
"LOC411959","pat","QL"
"LOC100577452","pat","QL"
"LOC726359","pat","QL"
"LOC413275","pat","QL"
"LOC413664","pat","QL"
"LOC410018","pat","QL"
"LOC410017","pat","QL"
"LOC413663","pat","QL"
"LOC725483","pat","QL"
"LOC408961","pat","QL"
"LOC725332","pat","QL"
"LOC412746","pat","QL"
"LOC411277","pat","QL"
"LOC726000","pat","QL"
"LOC725263","pat","QL"
"LOC102654579","pat","QL"
"LOC412769","pat","QL"
"LOC412768","pat","QL"
"LOC406153","pat","QL"
"LOC726941","pat","QL"
"LOC100578664","pat","QL"
"LOC724138","pat","QL"
"LOC552674","pat","QL"
"LOC100576504","pat","QL"
"LOC408988","pat","QL"
"LOC551093","pat","QL"
"LOC409409","pat","QL"
"LOC100576247","pat","QL"
"LOC725046","pat","QL"
"LOC413683","pat","QL"
"LOC102653934","pat","QL"
"LOC410229","pat","QL"
"LOC724333","pat","QL"
"LOC409548","pat","QL"
"LOC725686","pat","QL"
"LOC552722","pat","QL"
"LOC408276","pat","QL"
"LOC412236","pat","QL"
"LOC409363","pat","QL"
"LOC726923","pat","QL"
"LOC413310","pat","QL"
"LOC411889","pat","QL"
"LOC408339","pat","QL"
"LOC413894","pat","QL"
"LOC406121","pat","QL"
"LOC406090","pat","QL"
"LOC406149","pat","QL"
"LOC409555","pat","QL"
"LOC413906","pat","QL"
"LOC494508","pat","QL"
"LOC552309","pat","QL"
"LOC726801","pat","QL"
"LOC724460","pat","QL"
"LOC726757","pat","QL"
"LOC552446","pat","QL"
"LOC100578388","pat","QL"
"LOC413096","pat","QL"
"LOC410274","pat","QL"
"LOC410272","pat","QL"
"LOC726019","pat","QL"
"LOC727110","pat","QL"
"LOC408371","pat","QL"
"LOC551869","pat","QL"
"LOC102655710","pat","QL"
"LOC725656","pat","QL"
"LOC551284","pat","QL"
"LOC551325","pat","QL"
"LOC552190","pat","QL"
"LOC724243","pat","QL"
"LOC408395","pat","QL"
"LOC410379","pat","QL"
"LOC551533","pat","QL"
"LOC726696","pat","QL"
"LOC726790","pat","QL"
"LOC100576508","pat","QL"
"LOC100576671","pat","QL"
"LOC102654165","pat","QL"
"LOC100576527","pat","QL"
"LOC100577428","pat","QL"
"LOC410423","pat","QL"
"LOC408420","pat","QL"
"LOC410442","pat","QL"
"LOC726547","pat","QL"
"LOC410463","pat","QL"
"LOC412876","pat","QL"
"LOC552697","pat","QL"
"LOC725346","pat","QL"
"LOC410510","pat","QL"
"LOC410511","pat","QL"
"LOC410512","pat","QL"
"LOC409862","pat","QL"
"LOC726997","pat","QL"
"LOC113218537","pat","QL"
"LOC408489","pat","QL"
"LOC408504","pat","QL"
"LOC550932","pat","QL"
"LOC100578262","pat","QL"
"LOC724160","pat","QL"
"LOC726476","pat","QL"
"LOC726495","pat","QL"
"LOC726548","pat","QL"
"LOC724380","pat","QL"
"LOC724551","pat","QL"
"LOC552616","pat","QL"
"LOC724596","pat","QL"
"LOC411410","pat","QL"
"LOC411646","pat","QL"
"LOC413697","pat","QL"
"LOC552081","pat","QL"
"LOC552312","pat","QL"
"LOC100576958","pat","QL"
"LOC725088","pat","QL"
"LOC409952","pat","QL"
"LOC409604","pat","QL"
"LOC107965706","pat","QL"
"LOC408552","pat","QL"
"LOC102653753","pat","QL"
"LOC551320","Lineage A","WL"
"LOC409949","Lineage A","WL"
"LOC107964283","Lineage A","QL"
"LOC410456","Lineage A","QL"
"LOC413018","Lineage A","WL"
"LOC412227","Lineage A","WL"
"LOC408944","Lineage A","WL"
"LOC100578227","Lineage A","WL"
"LOC410517","Lineage A","WL"
"LOC413557","Lineage A","WL"
"LOC552844","Lineage A","WL"
"LOC408607","Lineage B","QL"
"LOC408857","Lineage B","QL"
"LOC409898","Lineage B","QL"
"LOC409010","Lineage B","QL"
"LOC410253","Lineage B","QL"
