"gene","bias","phenotype"
"LOC102655243","mat","WL"
"LOC102656822","mat","WL"
"LOC725792","mat","WL"
"LOC409316","mat","WL"
"LOC107964635","mat","WL"
"LOC100578417","mat","WL"
"LOC409801","mat","WL"
"LOC107964778","mat","WL"
"LOC409364","mat","WL"
"LOC552732","mat","WL"
"LOC113218931","mat","WL"
"LOC725876","mat","WL"
"LOC725908","mat","WL"
"LOC100577600","mat","WL"
"LOC413106","mat","WL"
"LOC100576963","mat","WL"
"LOC102655574","mat","WL"
"LOC100578438","mat","WL"
"LOC410467","mat","WL"
"LOC726690","mat","WL"
"LOC725754","mat","WL"
"LOC102654884","mat","WL"
"LOC100576602","mat","QL"
"LOC551521","mat","QL"
"LOC409678","mat","QL"
"LOC726260","mat","QL"
"LOC725260","mat","QL"
"LOC107964778","mat","QL"
"LOC100577156","mat","QL"
"LOC552732","mat","QL"
"LOC113218931","mat","QL"
"LOC725876","mat","QL"
"LOC725908","mat","QL"
"LOC409463","mat","QL"
"LOC552710","mat","QL"
"LOC411693","mat","QL"
"LOC406104","mat","QL"
"LOC102655357","mat","QL"
"LOC724468","mat","QL"
"LOC102656112","mat","QL"
"LOC551203","pat","WL"
"LOC100578334","pat","WL"
"LOC726912","pat","WL"
"LOC724795","pat","WL"
"LOC551388","pat","WL"
"LOC413303","pat","WL"
"LOC408611","pat","WL"
"LOC410739","pat","WL"
"LOC725189","pat","WL"
"LOC551031","pat","WL"
"LOC724680","pat","WL"
"LOC552036","pat","WL"
"LOC410710","pat","WL"
"LOC552096","pat","WL"
"LOC412601","pat","WL"
"LOC411700","pat","WL"
"LOC100578467","pat","WL"
"LOC724195","pat","WL"
"LOC551941","pat","WL"
"LOC410784","pat","WL"
"LOC725460","pat","WL"
"LOC551208","pat","WL"
"LOC410780","pat","WL"
"LOC412955","pat","WL"
"LOC100578084","pat","WL"
"LOC107966103","pat","WL"
"LOC408694","pat","WL"
"LOC410869","pat","WL"
"LOC724507","pat","WL"
"LOC408668","pat","WL"
"LOC552747","pat","WL"
"LOC726231","pat","WL"
"LOC410802","pat","WL"
"LOC410801","pat","WL"
"LOC412667","pat","WL"
"LOC413488","pat","WL"
"LOC410961","pat","WL"
"LOC412883","pat","WL"
"LOC410925","pat","WL"
"LOC551347","pat","WL"
"LOC551124","pat","WL"
"LOC100578040","pat","WL"
"LOC408723","pat","WL"
"LOC726305","pat","WL"
