"gene","bias","phenotype"
"LOC107963982","mat","WL"
"LOC551356","mat","WL"
"LOC408649","mat","WL"
"LOC409703","mat","WL"
"LOC725148","mat","WL"
"LOC107964510","mat","WL"
"LOC412099","mat","WL"
"LOC102655997","mat","WL"
"LOC100578409","mat","WL"
"LOC411157","mat","WL"
"LOC408898","mat","WL"
"LOC408897","mat","WL"
"LOC100576702","mat","WL"
"LOC102654158","mat","WL"
"LOC102654507","mat","WL"
"LOC725243","mat","WL"
"LOC725194","mat","WL"
"LOC725158","mat","WL"
"LOC408453","mat","WL"
"LOC726650","mat","WL"
"LOC113218573","mat","QL"
"LOC410870","mat","QL"
"LOC726394","mat","QL"
"LOC406088","mat","QL"
"LOC107964569","mat","QL"
"LOC412099","mat","QL"
"LOC408897","mat","QL"
"LOC726874","mat","QL"
"LOC100577519","mat","QL"
"LOC726315","mat","QL"
"LOC725194","mat","QL"
"LOC552636","pat","WL"
"LOC412103","pat","WL"
"LOC408605","pat","WL"
"LOC100578420","pat","WL"
"LOC113218598","pat","WL"
"LOC410852","pat","WL"
"LOC102655220","pat","WL"
"LOC408674","pat","WL"
"LOC724853","pat","WL"
"LOC413738","pat","WL"
"LOC100578320","pat","WL"
"LOC408822","pat","WL"
"LOC102655600","pat","WL"
"LOC413171","pat","WL"
"LOC408865","pat","WL"
"LOC727246","pat","WL"
"LOC725899","pat","WL"
"LOC107964671","pat","WL"
"LOC409692","pat","WL"
"LOC724785","pat","WL"
"LOC408965","pat","WL"
"LOC411269","pat","WL"
"LOC408964","pat","WL"
"LOC412150","pat","WL"
"LOC552031","pat","WL"
"LOC551135","pat","WL"
"LOC552401","pat","WL"
"LOC409020","pat","WL"
"LOC107965043","pat","WL"
"LOC409472","pat","WL"
"LOC100577877","pat","WL"
"LOC100576193","pat","WL"
"LOC409497","pat","WL"
"LOC412304","pat","WL"
"LOC409390","pat","WL"
"LOC725389","pat","WL"
"LOC107965070","pat","WL"
"LOC100578739","pat","WL"
"LOC409759","pat","WL"
"LOC409764","pat","WL"
"LOC410428","pat","WL"
"LOC410452","pat","WL"
"LOC410498","pat","WL"
"LOC726184","pat","WL"
"LOC100577155","pat","WL"
"LOC410550","pat","WL"
"LOC552641","pat","WL"
"LOC408538","pat","WL"
"LOC726229","pat","WL"
"LOC100578044","pat","WL"
"LOC107965658","pat","WL"
"LOC412103","pat","QL"
"LOC408606","pat","QL"
"LOC408605","pat","QL"
"LOC100577959","pat","QL"
"LOC100578420","pat","QL"
"LOC410872","pat","QL"
"LOC408674","pat","QL"
"LOC552562","pat","QL"
"LOC410793","pat","QL"
"LOC413940","pat","QL"
"LOC410803","pat","QL"
"LOC100577185","pat","QL"
"LOC724853","pat","QL"
"LOC410926","pat","QL"
"LOC107964138","pat","QL"
"LOC406074","pat","QL"
"LOC724886","pat","QL"
"LOC551701","pat","QL"
"LOC409598","pat","QL"
"LOC406107","pat","QL"
"LOC413638","pat","QL"
"LOC102654975","pat","QL"
"LOC725547","pat","QL"
"LOC408920","pat","QL"
"LOC408797","pat","QL"
"LOC100576745","pat","QL"
"LOC724432","pat","QL"
"LOC413171","pat","QL"
"LOC100577164","pat","QL"
"LOC408865","pat","QL"
"LOC551369","pat","QL"
"LOC113218803","pat","QL"
"LOC411545","pat","QL"
"LOC107964671","pat","QL"
"LOC102655889","pat","QL"
"LOC409675","pat","QL"
"LOC100578421","pat","QL"
"LOC724859","pat","QL"
"LOC408892","pat","QL"
"LOC408889","pat","QL"
"LOC102654605","pat","QL"
"LOC412888","pat","QL"
"LOC409972","pat","QL"
"LOC107964013","pat","QL"
"LOC551613","pat","QL"
"LOC551180","pat","QL"
"LOC552605","pat","QL"
"LOC725408","pat","QL"
"LOC409836","pat","QL"
"LOC411257","pat","QL"
"LOC724785","pat","QL"
"LOC552031","pat","QL"
"LOC551135","pat","QL"
"LOC411273","pat","QL"
"LOC107964868","pat","QL"
"LOC413625","pat","QL"
"LOC551016","pat","QL"
"LOC726625","pat","QL"
"LOC552386","pat","QL"
"LOC411306","pat","QL"
"LOC100576504","pat","QL"
"LOC102654795","pat","QL"
"LOC409159","pat","QL"
"LOC725577","pat","QL"
"LOC411691","pat","QL"
"LOC102655698","pat","QL"
"LOC409390","pat","QL"
"LOC410301","pat","QL"
"LOC724770","pat","QL"
"LOC409759","pat","QL"
"LOC725541","pat","QL"
"LOC551149","pat","QL"
"LOC410423","pat","QL"
"LOC724962","pat","QL"
"LOC410078","pat","QL"
"LOC408443","pat","QL"
"LOC725926","pat","QL"
"LOC724078","pat","QL"
"LOC725467","pat","QL"
"LOC100577155","pat","QL"
"LOC410526","pat","QL"
"LOC410527","pat","QL"
"LOC406146","pat","QL"
"LOC410550","pat","QL"
"LOC726302","pat","QL"
"LOC726250","pat","QL"
"LOC100577943","pat","QL"
"LOC409952","pat","QL"
"LOC107965658","pat","QL"
"LOC107965678","pat","QL"
"LOC408551","pat","QL"
"LOC100577767","pat","QL"
"LOC550965","Lineage A","WL"
"LOC409598","Lineage A","WL"
"LOC100578995","Lineage A","WL"
"LOC408304","Lineage A","WL"
"LOC725732","Lineage B","QL"
"LOC113218567","Lineage B","QL"
