"PEAKID","peakbias","phenotype"
"broadPeak_82","mat","WL"
"broadPeak_755","mat","WL"
"broadPeak_1607","mat","WL"
"broadPeak_2126","mat","WL"
"broadPeak_2642","mat","WL"
"broadPeak_2964","mat","WL"
"broadPeak_3021","mat","WL"
"broadPeak_4247","mat","WL"
"broadPeak_4533","mat","WL"
"broadPeak_4618","mat","WL"
"broadPeak_5046","mat","WL"
"broadPeak_7126","mat","WL"
"broadPeak_7298","mat","WL"
"broadPeak_7838","mat","WL"
"broadPeak_7904","mat","WL"
"broadPeak_7905","mat","WL"
"broadPeak_8196","mat","WL"
"broadPeak_8224","mat","WL"
"broadPeak_8244","mat","WL"
"broadPeak_8262","mat","WL"
"broadPeak_8562","mat","WL"
"broadPeak_8815","mat","WL"
"broadPeak_9616","mat","WL"
"broadPeak_10075","mat","WL"
"broadPeak_10124","mat","WL"
"broadPeak_10556","mat","WL"
"broadPeak_11855","mat","WL"
"broadPeak_12706","mat","WL"
"broadPeak_14578","mat","WL"
"broadPeak_14581","mat","WL"
"broadPeak_14591","mat","WL"
"broadPeak_14596","mat","WL"
"broadPeak_14601","mat","WL"
"broadPeak_14605","mat","WL"
"broadPeak_14606","mat","WL"
"broadPeak_14613","mat","WL"
"broadPeak_14959","mat","WL"
"broadPeak_15027","mat","WL"
"broadPeak_15929","mat","WL"
"broadPeak_17293","mat","WL"
"broadPeak_20630","mat","WL"
"broadPeak_21986","mat","WL"
"broadPeak_22093","mat","WL"
"broadPeak_22105","mat","WL"
"broadPeak_22132","mat","WL"
"broadPeak_24068","mat","WL"
"broadPeak_24079","mat","WL"
"broadPeak_24938","mat","WL"
"broadPeak_25036","mat","WL"
"broadPeak_25761","mat","WL"
"broadPeak_26142","mat","WL"
"broadPeak_26893","mat","WL"
"broadPeak_27488","mat","WL"
"broadPeak_29011","mat","WL"
"broadPeak_29031","mat","WL"
"broadPeak_29587","mat","WL"
"broadPeak_31720","mat","WL"
"broadPeak_32647","mat","WL"
"broadPeak_32652","mat","WL"
"broadPeak_32705","mat","WL"
"broadPeak_32741","mat","WL"
"broadPeak_33265","mat","WL"
"broadPeak_33454","mat","WL"
"broadPeak_34105","mat","WL"
"broadPeak_34459","mat","WL"
"broadPeak_36203","mat","WL"
"broadPeak_36369","mat","WL"
"broadPeak_36421","mat","WL"
"broadPeak_37317","mat","WL"
"broadPeak_37773","mat","WL"
"broadPeak_1859","mat","QL"
"broadPeak_2174","mat","QL"
"broadPeak_3375","mat","QL"
"broadPeak_4900","mat","QL"
"broadPeak_5497","mat","QL"
"broadPeak_7628","mat","QL"
"broadPeak_8800","mat","QL"
"broadPeak_11304","mat","QL"
"broadPeak_12115","mat","QL"
"broadPeak_15649","mat","QL"
"broadPeak_15650","mat","QL"
"broadPeak_15659","mat","QL"
"broadPeak_15666","mat","QL"
"broadPeak_15680","mat","QL"
"broadPeak_15682","mat","QL"
"broadPeak_16164","mat","QL"
"broadPeak_16181","mat","QL"
"narrowPeak_14765","mat","QL"
"narrowPeak_14929","mat","QL"
"broadPeak_21009","mat","QL"
"broadPeak_22189","mat","QL"
"narrowPeak_15526","mat","QL"
"broadPeak_24130","mat","QL"
"narrowPeak_17280","mat","QL"
"narrowPeak_17285","mat","QL"
"broadPeak_27505","mat","QL"
"broadPeak_31836","mat","QL"
