"PEAKID","peakbias","phenotype"
"broadPeak_178","mat","WL"
"broadPeak_259","mat","WL"
"broadPeak_1991","mat","WL"
"broadPeak_4847","mat","WL"
"broadPeak_5101","mat","WL"
"broadPeak_5636","mat","WL"
"broadPeak_5985","mat","WL"
"broadPeak_6011","mat","WL"
"broadPeak_6227","mat","WL"
"broadPeak_7329","mat","WL"
"broadPeak_8976","mat","WL"
"broadPeak_9292","mat","WL"
"broadPeak_10327","mat","WL"
"broadPeak_10381","mat","WL"
"broadPeak_10563","mat","WL"
"broadPeak_10569","mat","WL"
"broadPeak_10582","mat","WL"
"broadPeak_10588","mat","WL"
"broadPeak_10831","mat","WL"
"broadPeak_11897","mat","WL"
"broadPeak_12012","mat","WL"
"broadPeak_12603","mat","WL"
"broadPeak_13201","mat","WL"
"broadPeak_15818","mat","WL"
"broadPeak_17023","mat","WL"
"broadPeak_18197","mat","WL"
"broadPeak_18432","mat","WL"
"broadPeak_18864","mat","WL"
"broadPeak_20023","mat","WL"
"broadPeak_20024","mat","WL"
"broadPeak_20783","mat","WL"
"broadPeak_20810","mat","WL"
"broadPeak_20896","mat","WL"
"broadPeak_22030","mat","WL"
"broadPeak_25270","mat","WL"
"broadPeak_25386","mat","WL"
"broadPeak_25487","mat","WL"
"broadPeak_25828","mat","WL"
"broadPeak_25994","mat","WL"
"broadPeak_1887","mat","QL"
"broadPeak_2933","mat","QL"
"broadPeak_7447","mat","QL"
"broadPeak_7985","mat","QL"
"broadPeak_8014","mat","QL"
"broadPeak_9166","mat","QL"
"broadPeak_13545","mat","QL"
"broadPeak_13794","mat","QL"
"broadPeak_14047","mat","QL"
"broadPeak_14050","mat","QL"
"broadPeak_14066","mat","QL"
"broadPeak_14079","mat","QL"
"broadPeak_14080","mat","QL"
"broadPeak_14086","mat","QL"
"broadPeak_14419","mat","QL"
"broadPeak_14527","mat","QL"
"broadPeak_14551","mat","QL"
"broadPeak_21509","mat","QL"
"broadPeak_24207","mat","QL"
"narrowPeak_14379","mat","QL"
"narrowPeak_14380","mat","QL"
"broadPeak_26642","mat","QL"
"broadPeak_27660","mat","QL"
"narrowPeak_15467","mat","QL"
"broadPeak_27696","mat","QL"
"broadPeak_28187","mat","QL"
"broadPeak_28190","mat","QL"
"narrowPeak_15784","mat","QL"
"broadPeak_28301","mat","QL"
"broadPeak_28328","mat","QL"
"broadPeak_28343","mat","QL"
"broadPeak_30006","mat","QL"
"broadPeak_30067","mat","QL"
"narrowPeak_17654","mat","QL"
"narrowPeak_17871","mat","QL"
"broadPeak_32027","mat","QL"
"broadPeak_34231","mat","QL"
"broadPeak_34335","mat","QL"
"broadPeak_34479","mat","QL"
"broadPeak_35184","mat","QL"
"broadPeak_375","pat","WL"
"broadPeak_827","pat","WL"
"broadPeak_1070","pat","WL"
"broadPeak_1169","pat","WL"
"broadPeak_1411","pat","WL"
"broadPeak_1550","pat","WL"
"broadPeak_1552","pat","WL"
"broadPeak_1558","pat","WL"
"broadPeak_2489","pat","WL"
"broadPeak_3098","pat","WL"
"broadPeak_3332","pat","WL"
"broadPeak_4009","pat","WL"
"broadPeak_4731","pat","WL"
"broadPeak_4760","pat","WL"
"broadPeak_4824","pat","WL"
"broadPeak_4994","pat","WL"
"broadPeak_5183","pat","WL"
"broadPeak_5483","pat","WL"
"broadPeak_5486","pat","WL"
"broadPeak_5591","pat","WL"
"broadPeak_6496","pat","WL"
"broadPeak_7229","pat","WL"
"broadPeak_7313","pat","WL"
"broadPeak_7555","pat","WL"
