"gene","bias","phenotype"
"LOC411273","Lineage A","egg"
"LOC102656248","Lineage A","egg"
"LOC102655120","Lineage A","egg"
"LOC409281","Lineage A","egg"
"LOC725970","Lineage A","egg"
"LOC100578345","Lineage A","egg"
"LOC107964968","Lineage A","egg"
"LOC408979","Lineage A","egg"
"LOC727269","Lineage A","egg"
"LOC724640","Lineage A","egg"
"LOC412101","Lineage A","egg"
"LOC410023","Lineage A","egg"
"LOC552688","Lineage A","egg"
"LOC100577378","Lineage A","egg"
"LOC411888","Lineage A","egg"
"LOC724286","Lineage A","egg"
"LOC410334","Lineage A","egg"
"LOC725780","Lineage A","egg"
"LOC410353","Lineage A","egg"
"LOC100576488","Lineage A","egg"
"LOC100576458","Lineage A","egg"
"LOC410362","Lineage A","egg"
"LOC102654968","Lineage A","egg"
"LOC102654165","Lineage A","egg"
"LOC552578","Lineage A","egg"
"LOC410456","Lineage A","egg"
"LOC411396","Lineage A","egg"
"LOC102655841","Lineage A","egg"
"LOC408456","Lineage A","egg"
"LOC725754","Lineage A","egg"
"LOC726276","Lineage A","egg"
"LOC100578515","Lineage A","egg"
"LOC726947","Lineage A","egg"
"LOC408441","Lineage A","egg"
"LOC411570","Lineage A","egg"
"LOC726731","Lineage A","egg"
"LOC408517","Lineage A","egg"
"LOC412886","Lineage A","egg"
"LOC724468","Lineage A","egg"
"LOC551732","Lineage A","egg"
"LOC409923","Lineage A","egg"
"LOC107964069","Lineage A","egg"
"LOC409703","Lineage A","egg"
"LOC100576449","Lineage A","egg"
"LOC408841","Lineage A","egg"
"LOC551089","Lineage A","egg"
"LOC102654625","Lineage A","egg"
"LOC100577348","Lineage A","egg"
"LOC408421","Lineage A","egg"
