"gene","bias","phenotype"
"LOC414017","mat","egg"
"LOC412511","mat","egg"
"LOC102653666","mat","egg"
"LOC410009","mat","egg"
"LOC413562","mat","egg"
"LOC410696","mat","egg"
"LOC413575","mat","egg"
"LOC100576454","mat","egg"
"LOC409251","mat","egg"
"LOC551071","mat","egg"
"LOC410756","mat","egg"
"LOC552020","mat","egg"
"LOC552101","mat","egg"
"LOC410829","mat","egg"
"LOC100576949","mat","egg"
"LOC726375","mat","egg"
"LOC408755","mat","egg"
"LOC410944","mat","egg"
"LOC551170","mat","egg"
"LOC410943","mat","egg"
"LOC724886","mat","egg"
"LOC408732","mat","egg"
"LOC410918","mat","egg"
"LOC413817","mat","egg"
"LOC413503","mat","egg"
"LOC551510","mat","egg"
"LOC551540","mat","egg"
"LOC408818","mat","egg"
"LOC411047","mat","egg"
"LOC100577054","mat","egg"
"LOC408788","mat","egg"
"LOC725703","mat","egg"
"LOC409949","mat","egg"
"LOC725548","mat","egg"
"LOC552195","mat","egg"
"LOC411113","mat","egg"
"LOC409729","mat","egg"
"LOC413998","mat","egg"
"LOC408894","mat","egg"
"LOC408887","mat","egg"
"LOC408877","mat","egg"
"LOC408874","mat","egg"
"LOC102654016","mat","egg"
"LOC412888","mat","egg"
"LOC107964545","mat","egg"
"LOC552047","mat","egg"
"LOC107964660","mat","egg"
"LOC413474","mat","egg"
"LOC413473","mat","egg"
"LOC724262","mat","egg"
"LOC413153","mat","egg"
"LOC413384","mat","egg"
"LOC102656548","mat","egg"
"LOC409933","mat","egg"
"LOC408926","mat","egg"
"LOC113218894","mat","egg"
"LOC725329","mat","egg"
"LOC551224","mat","egg"
"LOC412128","mat","egg"
"LOC411248","mat","egg"
"LOC411991","mat","egg"
"LOC725870","mat","egg"
"LOC408970","mat","egg"
"LOC413052","mat","egg"
"LOC725263","mat","egg"
"LOC725485","mat","egg"
"LOC412959","mat","egg"
"LOC413994","mat","egg"
"LOC725024","mat","egg"
"LOC411347","mat","egg"
"LOC725264","mat","egg"
"LOC100577409","mat","egg"
"LOC411330","mat","egg"
"LOC409001","mat","egg"
"LOC726361","mat","egg"
"LOC113218997","mat","egg"
"LOC100577343","mat","egg"
"LOC410211","mat","egg"
"LOC100576963","mat","egg"
"LOC102656071","mat","egg"
"LOC410297","mat","egg"
"LOC408345","mat","egg"
"LOC552577","mat","egg"
"LOC408358","mat","egg"
"LOC107965253","mat","egg"
"LOC724685","mat","egg"
"LOC409904","mat","egg"
"LOC410270","mat","egg"
"LOC726019","mat","egg"
"LOC408333","mat","egg"
"LOC113219164","mat","egg"
"LOC408380","mat","egg"
"LOC412460","mat","egg"
"LOC724727","mat","egg"
"LOC552178","mat","egg"
"LOC552110","mat","egg"
"LOC551233","mat","egg"
"LOC100576619","mat","egg"
"LOC412742","mat","egg"
"LOC410398","mat","egg"
"LOC100576671","mat","egg"
"LOC408411","mat","egg"
"LOC724592","mat","egg"
"LOC410468","mat","egg"
"LOC113219211","mat","egg"
"LOC725003","mat","egg"
"LOC551250","mat","egg"
"LOC409714","mat","egg"
"LOC413213","mat","egg"
"LOC100577430","mat","egg"
"LOC100577121","mat","egg"
"LOC725318","mat","egg"
"LOC100578776","mat","egg"
"LOC726331","mat","egg"
"LOC726548","mat","egg"
"LOC102656554","mat","egg"
"LOC107965756","mat","egg"
"LOC113219293","mat","egg"
"LOC724161","mat","egg"
"LOC551871","mat","egg"
"LOC100578696","pat","egg"
"LOC725189","pat","egg"
"LOC413713","pat","egg"
"LOC102655567","pat","egg"
"LOC410035","pat","egg"
"LOC413677","pat","egg"
"LOC102656669","pat","egg"
"LOC410718","pat","egg"
"LOC725885","pat","egg"
"LOC551643","pat","egg"
"LOC724681","pat","egg"
"LOC100578144","pat","egg"
"LOC412619","pat","egg"
"LOC102655950","pat","egg"
"LOC409643","pat","egg"
"LOC408725","pat","egg"
"LOC552583","pat","egg"
"LOC412670","pat","egg"
"LOC411557","pat","egg"
"LOC100576498","pat","egg"
"LOC726755","pat","egg"
"LOC727166","pat","egg"
"LOC412166","pat","egg"
"LOC100576135","pat","egg"
"LOC100579057","pat","egg"
"LOC409598","pat","egg"
"LOC100576283","pat","egg"
"LOC724830","pat","egg"
"LOC413113","pat","egg"
"LOC725701","pat","egg"
"LOC100578201","pat","egg"
"LOC100578168","pat","egg"
"LOC724781","pat","egg"
"LOC408797","pat","egg"
"LOC100576745","pat","egg"
"LOC410998","pat","egg"
"LOC410994","pat","egg"
"LOC726335","pat","egg"
"LOC100578106","pat","egg"
"LOC726654","pat","egg"
"LOC412099","pat","egg"
"LOC100578041","pat","egg"
"LOC100577819","pat","egg"
"LOC409899","pat","egg"
"LOC411814","pat","egg"
"LOC411685","pat","egg"
"LOC552491","pat","egg"
"LOC413168","pat","egg"
"LOC727091","pat","egg"
"LOC411212","pat","egg"
"LOC107964868","pat","egg"
"LOC724225","pat","egg"
"LOC409018","pat","egg"
"LOC408976","pat","egg"
"LOC410246","pat","egg"
"LOC408264","pat","egg"
"LOC411414","pat","egg"
"LOC413380","pat","egg"
"LOC726274","pat","egg"
"LOC406133","pat","egg"
"LOC406149","pat","egg"
"LOC406116","pat","egg"
"LOC724153","pat","egg"
"LOC113219096","pat","egg"
"LOC409203","pat","egg"
"LOC408365","pat","egg"
"LOC413096","pat","egg"
"LOC413583","pat","egg"
"LOC724545","pat","egg"
"LOC410368","pat","egg"
"LOC408428","pat","egg"
"LOC724962","pat","egg"
"LOC113219221","pat","egg"
"LOC726887","pat","egg"
"LOC408546","pat","egg"
"LOC408528","pat","egg"
"LOC100577656","pat","egg"
"LOC408563","pat","egg"
"LOC102655737","pat","egg"
"LOC100578042","Lineage A","egg"
"LOC551842","Lineage A","egg"
"LOC410032","Lineage A","egg"
"LOC107964507","Lineage A","egg"
"LOC726972","Lineage A","egg"
"LOC552040","Lineage A","egg"
"LOC107964025","Lineage A","egg"
"LOC413631","Lineage A","egg"
"LOC410669","Lineage A","egg"
"LOC100576662","Lineage A","egg"
"LOC410776","Lineage A","egg"
"LOC408607","Lineage A","egg"
"LOC726292","Lineage A","egg"
"LOC100578072","Lineage A","egg"
"LOC409422","Lineage A","egg"
"LOC724483","Lineage A","egg"
"LOC410114","Lineage A","egg"
"LOC107964181","Lineage A","egg"
"LOC551744","Lineage A","egg"
"LOC724885","Lineage A","egg"
"LOC724558","Lineage A","egg"
"LOC100577576","Lineage A","egg"
"LOC411048","Lineage A","egg"
"LOC409495","Lineage A","egg"
"LOC726044","Lineage A","egg"
"LOC408786","Lineage A","egg"
"LOC100576129","Lineage A","egg"
"LOC552513","Lineage A","egg"
"LOC725552","Lineage A","egg"
"LOC725899","Lineage A","egg"
"LOC409727","Lineage A","egg"
"LOC411182","Lineage A","egg"
"LOC408884","Lineage A","egg"
"LOC102656661","Lineage A","egg"
"LOC100576895","Lineage A","egg"
"LOC100577781","Lineage A","egg"
"LOC413176","Lineage A","egg"
"LOC725233","Lineage A","egg"
"LOC551805","Lineage A","egg"
"LOC724880","Lineage A","egg"
"LOC100577150","Lineage A","egg"
"LOC725021","Lineage A","egg"
"LOC100576182","Lineage A","egg"
"LOC411262","Lineage A","egg"
