"PEAKID","peakbias","phenotype"
"broadPeak_1975","mat","WL"
"broadPeak_3008","mat","WL"
"broadPeak_5670","mat","WL"
"broadPeak_5760","mat","WL"
"broadPeak_9285","mat","WL"
"broadPeak_10879","mat","WL"
"broadPeak_15405","mat","WL"
"broadPeak_15432","mat","WL"
"broadPeak_16182","mat","WL"
"broadPeak_21221","mat","WL"
"broadPeak_29954","mat","WL"
"broadPeak_31952","mat","WL"
"broadPeak_32047","mat","WL"
"broadPeak_32880","mat","WL"
"broadPeak_32971","mat","WL"
"broadPeak_36986","mat","WL"
"broadPeak_38909","mat","WL"
"broadPeak_39135","mat","WL"
"broadPeak_40556","mat","WL"
"broadPeak_40688","mat","WL"
"broadPeak_41255","mat","WL"
"broadPeak_41856","mat","WL"
"broadPeak_42070","mat","WL"
"broadPeak_9815","mat","QL"
"broadPeak_9903","mat","QL"
"broadPeak_10304","mat","QL"
"broadPeak_10320","mat","QL"
"broadPeak_10778","mat","QL"
"broadPeak_12760","mat","QL"
"broadPeak_14695","mat","QL"
"broadPeak_15573","mat","QL"
"broadPeak_16985","mat","QL"
"broadPeak_17983","mat","QL"
"broadPeak_19806","mat","QL"
"broadPeak_21208","mat","QL"
"broadPeak_22141","mat","QL"
"broadPeak_26756","mat","QL"
"broadPeak_27056","mat","QL"
"broadPeak_28742","mat","QL"
"broadPeak_30149","mat","QL"
"narrowPeak_25554","mat","QL"
"narrowPeak_26145","mat","QL"
"broadPeak_38997","mat","QL"
"broadPeak_39100","mat","QL"
"narrowPeak_30712","mat","QL"
"narrowPeak_30765","mat","QL"
"narrowPeak_31771","mat","QL"
"broadPeak_40353","mat","QL"
"broadPeak_42591","mat","QL"
"broadPeak_47758","mat","QL"
"broadPeak_47837","mat","QL"
"broadPeak_47928","mat","QL"
"broadPeak_51437","mat","QL"
"broadPeak_51956","mat","QL"
"narrowPeak_42554","mat","QL"
"broadPeak_53732","mat","QL"
"broadPeak_53737","mat","QL"
"broadPeak_233","pat","WL"
"broadPeak_807","pat","WL"
"broadPeak_885","pat","WL"
"broadPeak_2375","pat","WL"
"broadPeak_5368","pat","WL"
"broadPeak_5466","pat","WL"
"broadPeak_7736","pat","WL"
"broadPeak_8365","pat","WL"
"broadPeak_8867","pat","WL"
"broadPeak_11412","pat","WL"
"broadPeak_12289","pat","WL"
"broadPeak_13661","pat","WL"
"broadPeak_15742","pat","WL"
"broadPeak_16494","pat","WL"
"broadPeak_16765","pat","WL"
"broadPeak_16859","pat","WL"
"broadPeak_16976","pat","WL"
"broadPeak_17048","pat","WL"
"broadPeak_19495","pat","WL"
"broadPeak_20455","pat","WL"
"broadPeak_24081","pat","WL"
"broadPeak_24199","pat","WL"
"broadPeak_28243","pat","WL"
"broadPeak_28481","pat","WL"
"broadPeak_28674","pat","WL"
"broadPeak_29475","pat","WL"
