"PEAKID","peakbias","phenotype"
"broadPeak_178","mat","WL"
"broadPeak_233","mat","WL"
"broadPeak_259","mat","WL"
"broadPeak_386","mat","WL"
"broadPeak_419","mat","WL"
"broadPeak_443","mat","WL"
"broadPeak_674","mat","WL"
"broadPeak_686","mat","WL"
"broadPeak_687","mat","WL"
"broadPeak_932","mat","WL"
"broadPeak_971","mat","WL"
"broadPeak_991","mat","WL"
"broadPeak_1219","mat","WL"
"broadPeak_1220","mat","WL"
"broadPeak_1227","mat","WL"
"broadPeak_1991","mat","WL"
"broadPeak_2029","mat","WL"
"broadPeak_2067","mat","WL"
"broadPeak_2117","mat","WL"
"broadPeak_2273","mat","WL"
"broadPeak_2415","mat","WL"
"broadPeak_2432","mat","WL"
"broadPeak_2629","mat","WL"
"broadPeak_3168","mat","WL"
"broadPeak_3529","mat","WL"
"broadPeak_4030","mat","WL"
"broadPeak_4168","mat","WL"
"broadPeak_4275","mat","WL"
"broadPeak_4352","mat","WL"
"broadPeak_4401","mat","WL"
"broadPeak_4847","mat","WL"
"broadPeak_4962","mat","WL"
"broadPeak_5051","mat","WL"
"broadPeak_5089","mat","WL"
"broadPeak_5090","mat","WL"
"broadPeak_5091","mat","WL"
"broadPeak_5092","mat","WL"
"broadPeak_5097","mat","WL"
"broadPeak_5098","mat","WL"
"broadPeak_5101","mat","WL"
"broadPeak_5120","mat","WL"
"broadPeak_5132","mat","WL"
"broadPeak_5205","mat","WL"
"broadPeak_5550","mat","WL"
"broadPeak_5636","mat","WL"
"broadPeak_5801","mat","WL"
"broadPeak_5985","mat","WL"
"broadPeak_6011","mat","WL"
"broadPeak_6196","mat","WL"
"broadPeak_6227","mat","WL"
"broadPeak_6410","mat","WL"
"broadPeak_6552","mat","WL"
"broadPeak_6814","mat","WL"
"broadPeak_6907","mat","WL"
"broadPeak_6914","mat","WL"
"broadPeak_6922","mat","WL"
"broadPeak_7326","mat","WL"
"broadPeak_7329","mat","WL"
"broadPeak_7348","mat","WL"
"broadPeak_7352","mat","WL"
"broadPeak_7358","mat","WL"
"broadPeak_7488","mat","WL"
"broadPeak_7713","mat","WL"
"broadPeak_7737","mat","WL"
"broadPeak_8218","mat","WL"
"broadPeak_8227","mat","WL"
